source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1300163196,701466727,53.95,231,82.499935,0.000000,0.000000,0.227311,15.150610
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1300163196,382746140,29.44,230,81.498220,0.000000,0.000000,0.412164,13.783089
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1300163196,233365253,17.95,229,79.664727,0.000000,0.000000,0.563796,10.208948
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1300163196,389228615,29.94,97,81.344937,0.000000,0.000000,0.418244,14.100222
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-18","libx265","slow","18",1712391412,584267178,34.12,1797,86.066267,0.000000,0.000000,1.132390,17.644753
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-20","libx265","slow","20",1712391412,389268940,22.73,1630,85.839090,0.000000,0.000000,1.278836,16.352031
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-22","libx265","slow","22",1712391412,275108388,16.07,1533,85.548808,0.000000,0.000000,1.443815,15.170843
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-medium-20","libx265","medium","20",1712391412,341241753,19.93,779,85.498504,0.000000,0.000000,1.253626,16.385806
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1712391412,471113147,27.51,283,85.697925,0.000000,0.000000,1.315274,9.751984
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1712391412,255502243,14.92,246,84.880420,0.000000,0.000000,1.675833,9.112879
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1712391412,165133622,9.64,241,83.490370,0.000000,0.000000,1.849473,9.702146
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1712391412,261930384,15.30,105,84.729015,0.000000,0.000000,1.715776,9.080772
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-19","libx265","slow","19",1361706237,836759150,61.45,1956,76.256625,0.000000,0.000000,0.011027,6.479790
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-21","libx265","slow","21",1361706237,600440458,44.09,1787,75.958574,0.000000,0.000000,0.020397,6.466661
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slower-20","libx265","slower","20",1361706237,717853509,52.72,6507,76.175423,0.000000,0.000000,0.010017,6.466326
